SKOLENHETSKOD,English_avg_score,Math_avg_score,Swedish_avg_score,Swedish_as_a_second_language_avg_score,grand_avg_score,HUVUDMANNATYP,KOMMUNNAMN,SKOLENHETENS NAMN,BESÖKSADRESS,BESÖKSPOSTNR,BESÖKSPOSTORT,WEBB,FKLASS,lon,lat,Google_rating
10063280,14.125,9.833333333333334,12.308333333333332,,12.088888888888889,Enskild,Huddinge,Skapaskolan,Midsommarvägen 4,14144,Huddinge,http://www.skapaskolan.se,J,17.9604016,59.2336677,2.4
10225038,15.550000000000002,14.133333333333333,12.983333333333334,,14.222222222222223,Kommunal,Huddinge,Solfagraskolan,Prästvägen 23-25,14131,Huddinge,http://www.huddinge.se/solfagraskolan,J,18.0093278,59.23936579999999,3.8
10360193,15.549999999999999,12.6,15.700000000000001,,14.616666666666667,Enskild,Stockholm,Profilskolan,"Krossgatan 34, plan 4",16250,Vällingby,http://www.profilskolan.se,J,17.8567362,59.37235159999999,3.5
10661388,11.883333333333335,10.166666666666666,14.191666666666668,,12.080555555555556,Enskild,Södertälje,Örjanskolan grund,Nibble,15391,Järna,http://www.orjanskolan.se,J,17.6165051,59.0662909,3.8
10715898,16.333333333333332,13.200000000000001,14.9,,14.81111111111111,Enskild,Österåker,Akers Friskola,Svampvägen 4,18438,Åkersberga,http://www.akersfriskola.se,J,18.3323781,59.4916248,4.0
10998117,14.25,10.266666666666667,12.550000000000002,11.3,12.091666666666669,Kommunal,Sigtuna,Råbergsskolan,Nyborgsvägen 2 A,19571,Rosersberg,http://www.sigtuna.se/rabergsskolan,J,17.8904493,59.57986449999999,4.3
11018018,17.266666666666666,12.666666666666666,15.841666666666667,,15.258333333333333,Enskild,Stockholm,Pops Academy Östermalm,Valhallavägen 117 D/E,11531,Stockholm,https://www.popsacademy.se,N,18.0829139,59.3435183,4.1
11025388,14.616666666666667,13.666666666666666,13.200000000000001,,13.827777777777778,Kommunal,Ekerö,Stenhamraskolan,Herman Palms Plan 3,17960,Stenhamra,http://www.ekero.se/stenhamraskola,J,17.6880374,59.33548210000001,4.1
11364996,16.691666666666666,13.200000000000001,14.158333333333333,,14.683333333333332,Enskild,Värmdö,Lemshaga Akademi,Lemshagavägen 5-15,13461,Ingarö,http://www.lemshaga.se,J,18.4010831,59.3002611,4.2
11442396,12.5,9.266666666666666,11.0,8.787500000000001,10.388541666666667,Enskild,Stockholm,Stockholm International Academy Hägersten,Sulvägen 52,12640,Hägersten,http://www.mubarak.se,J,18.0074798,59.28439830000001,3.8
11496096,18.01666666666667,15.166666666666666,16.916666666666668,,16.700000000000003,Enskild,Nacka,Kunskapsskolan Saltsjöbaden,Observatoriebacken 1,13336,Saltsjöbaden,https://www.kunskapsskolan.se,N,18.3041145,59.271994,4.0
11777750,16.25,13.666666666666666,14.483333333333333,,14.799999999999999,Kommunal,Nacka,Saltsjöbadens samskola,Samskolevägen 1,13334,Saltsjöbaden,http://www.samskolan.org,J,18.2823796,59.27805559999999,2.4
11914814,14.283333333333331,11.0,12.424999999999999,8.325,11.508333333333333,Kommunal,Södertälje,Rosenborgskolan,Erik Dahlbergs väg 9,14185,Södertälje,http://www.sodertalje.se/rosenborgskolan,N,17.6365282,59.19800309999999,3.3
12092203,4.625,4.2,2.8,,3.875,Kommunal,Sollentuna,Brage- skola och språkförskola,Hertig Karls väg 5,19268,Sollentuna,http://www.talochsprakcentrum.se,J,17.9099571,59.47735900000001,3.7
12187987,16.25,14.233333333333334,15.1,,15.194444444444445,Kommunal,Stockholm,Katarina Södra skola,Katarina Bangata 41,11639,Stockholm,https://grundskola.stockholm/hitta-grundskola/grundskola/katarina-sodra-skola-f-6/,J,18.0833334,59.31104240000001,3.7
12332278,19.375,15.566666666666668,15.383333333333333,13.9,16.056250000000002,Enskild,Täby,Internationella Engelska Skolan Täby,Nytorpsvägen 7,18353,Täby,http://www.engelska.se,N,18.0764904,59.4355462,2.8
12407147,16.0,8.55,11.950000000000001,,12.166666666666666,Kommunal,Österåker,Röllingbyskolan ,Hackstavägen 31,18494,Åkersberga,http://www.osteraker.se,J,18.2989331,59.48723989999999,
12757193,16.150000000000002,13.633333333333333,14.433333333333332,11.65,13.966666666666667,Enskild,Södertälje,Vittra Östertälje,Gärtunavägen 4,15257,Södertälje,http://www.vittra.se/sodertalje,J,17.6677034,59.1801987,4.1
